id,org_id,external_user_id,email_hash,signup_date,acquisition_channel,country,device,plan_type,created_at
1,1,usr_23d3cd4cbd5f,ef52415f56687024b9f5955e573af795b63f63f91b83de48f9af637ca2e635bd,2026-06-06,WhatsApp,GB,mobile,free,2026-06-06T02:03:06+00:00
2,1,usr_1375ee90d6b3,a6bdabddb99dcaca7c55745fb3294eeb5e8e60ec84809095d1f7b005046c1fe3,2026-05-08,Instagram,CA,tablet,free,2026-05-08T03:49:20+00:00
3,1,usr_c8969c5b45f8,f06144c46773439a53533613cf414728fcfa98be05c9e34dd2d4e137d7c8e182,2026-06-11,Paid Ads,US,mobile,free,2026-06-11T03:27:11+00:00
4,1,usr_614c721da921,deb3d907f7f5bc1b5a8a36a1bb2757cb80e218f4b3e0c2e591278f5943e89e84,2026-04-26,LinkedIn,IN,desktop,free,2026-04-26T05:04:05+00:00
5,1,usr_b630794d6147,82e8b87928d3cc8d9b6d460f72ff8ec75afdb7dcc401af52070b8a598edf6c98,2026-05-09,Instagram,NG,mobile,free,2026-05-09T00:00:19+00:00
6,1,usr_450f69eec2e7,31789af4bb272de663499e529860e7ee722235159fa64ffe254cf505ae93b2e1,2026-04-28,WhatsApp,US,mobile,free,2026-04-28T04:35:32+00:00
7,1,usr_16f142a206b9,471cd3e3b29055306d544d5b451cd579cdc92d84da423a66e9d4cf59677271d7,2026-05-08,Paid Ads,US,mobile,free,2026-05-08T02:55:24+00:00
8,1,usr_6346d4ef69ef,94f2f6e251bccf8405ce518e311cd07cde6a3e73564775f446507eeca7888562,2026-05-02,WhatsApp,GH,desktop,free,2026-05-02T01:36:33+00:00
9,1,usr_2b64777c6177,3fe53480af371a836c9eaf5c18803793193fdf0e48bd47216e24172276281955,2026-05-06,Paid Ads,NG,mobile,free,2026-05-06T00:10:27+00:00
10,1,usr_7bf695524cbc,35375b26bb7364b7b3a87f59c4df0102292fe94a1dd2edbf600102074528eea0,2026-04-29,WhatsApp,US,mobile,free,2026-04-29T05:31:38+00:00
11,1,usr_1b628a9d7536,5da34e1812c02b9689e88d3db8962c93c77d3ae52a45b9cdf3d8e5285914f90b,2026-05-06,Referral,US,mobile,free,2026-05-06T04:24:51+00:00
12,1,usr_55b145e470b2,c786eabc8e3bb55728c57e920325ccb07593c207de93ef81ea22b1353738da43,2026-06-07,WhatsApp,CA,desktop,free,2026-06-07T04:08:19+00:00
