id,org_id,user_id,anonymous_id,event_name,event_time,session_id,source,page,properties_json,created_at
1,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T17:00:10+00:00,s_65e1605bbf8f,Organic,/settings,"{""channel"": ""Organic"", ""page_num"": 1}",2026-05-23T17:00:10+00:00
2,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T08:06:04+00:00,s_65e1605bbf8f,Organic,/search,"{""channel"": ""Organic"", ""page_num"": 2}",2026-05-23T08:06:04+00:00
3,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T21:41:18+00:00,s_65e1605bbf8f,Organic,/search,"{""channel"": ""Organic"", ""page_num"": 3}",2026-05-23T21:41:18+00:00
4,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T13:11:23+00:00,s_65e1605bbf8f,Organic,/signup,"{""channel"": ""Organic"", ""page_num"": 4}",2026-05-23T13:11:23+00:00
5,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T12:12:31+00:00,s_65e1605bbf8f,Organic,/signup,"{""channel"": ""Organic"", ""page_num"": 5}",2026-05-23T12:12:31+00:00
6,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T11:28:36+00:00,s_65e1605bbf8f,Organic,/onboarding,"{""channel"": ""Organic"", ""page_num"": 6}",2026-05-23T11:28:36+00:00
7,1,,anon_582a2099cc2b2f49,page_viewed,2026-05-23T13:12:03+00:00,s_65e1605bbf8f,Organic,/signup,"{""channel"": ""Organic"", ""page_num"": 7}",2026-05-23T13:12:03+00:00
8,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T13:05:18+00:00,s_de4cf8bc1bf4,Organic,/events,"{""channel"": ""Organic"", ""page_num"": 1}",2026-06-13T13:05:18+00:00
9,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T20:07:17+00:00,s_de4cf8bc1bf4,Organic,/events,"{""channel"": ""Organic"", ""page_num"": 2}",2026-06-13T20:07:17+00:00
10,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T18:01:37+00:00,s_de4cf8bc1bf4,Organic,/onboarding,"{""channel"": ""Organic"", ""page_num"": 3}",2026-06-13T18:01:37+00:00
11,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T23:31:43+00:00,s_de4cf8bc1bf4,Organic,/events,"{""channel"": ""Organic"", ""page_num"": 4}",2026-06-13T23:31:43+00:00
12,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T08:03:17+00:00,s_de4cf8bc1bf4,Organic,/,"{""channel"": ""Organic"", ""page_num"": 5}",2026-06-13T08:03:17+00:00
13,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T09:06:13+00:00,s_de4cf8bc1bf4,Organic,/,"{""channel"": ""Organic"", ""page_num"": 6}",2026-06-13T09:06:13+00:00
14,1,,anon_e6fb61d3fba26c21,page_viewed,2026-06-13T20:38:33+00:00,s_de4cf8bc1bf4,Organic,/dashboard,"{""channel"": ""Organic"", ""page_num"": 7}",2026-06-13T20:38:33+00:00
15,1,,anon_9ab8180f56479889,page_viewed,2026-05-30T19:42:25+00:00,s_50b281c0ffdb,WhatsApp,/search,"{""channel"": ""WhatsApp"", ""page_num"": 1}",2026-05-30T19:42:25+00:00
16,1,,anon_9ab8180f56479889,page_viewed,2026-05-30T09:22:55+00:00,s_50b281c0ffdb,WhatsApp,/profile,"{""channel"": ""WhatsApp"", ""page_num"": 2}",2026-05-30T09:22:55+00:00
17,1,,anon_9ab8180f56479889,page_viewed,2026-05-30T11:00:29+00:00,s_50b281c0ffdb,WhatsApp,/search,"{""channel"": ""WhatsApp"", ""page_num"": 3}",2026-05-30T11:00:29+00:00
18,1,,anon_0692fe02238c8712,page_viewed,2026-05-23T23:32:26+00:00,s_5e516bf83fa0,Referral,/onboarding,"{""channel"": ""Referral"", ""page_num"": 1}",2026-05-23T23:32:26+00:00
19,1,,anon_0692fe02238c8712,page_viewed,2026-05-23T08:40:52+00:00,s_5e516bf83fa0,Referral,/profile,"{""channel"": ""Referral"", ""page_num"": 2}",2026-05-23T08:40:52+00:00
20,1,,anon_0692fe02238c8712,page_viewed,2026-05-23T08:40:23+00:00,s_5e516bf83fa0,Referral,/,"{""channel"": ""Referral"", ""page_num"": 3}",2026-05-23T08:40:23+00:00
21,1,,anon_0692fe02238c8712,page_viewed,2026-05-23T18:43:28+00:00,s_5e516bf83fa0,Referral,/onboarding,"{""channel"": ""Referral"", ""page_num"": 4}",2026-05-23T18:43:28+00:00
22,1,,anon_0692fe02238c8712,page_viewed,2026-05-23T23:25:47+00:00,s_5e516bf83fa0,Referral,/events,"{""channel"": ""Referral"", ""page_num"": 5}",2026-05-23T23:25:47+00:00
23,1,,anon_ee4bd350f104ad27,page_viewed,2026-05-02T12:55:33+00:00,s_31f090219b6f,WhatsApp,/,"{""channel"": ""WhatsApp"", ""page_num"": 1}",2026-05-02T12:55:33+00:00
